old_slug,new_slug,title_ar,title_en
geotech-encyclopedia-37,monitoring-injection-pressure-protecting-structural-balance,مراقبة ضغط الحقن: الحفاظ على توازن المنشأ,Monitoring Injection Pressure: Protecting Structural Balance
geotech-encyclopedia-38,flow-rate-measurement-estimating-void-volume-and-ground-response,قياس معدل التدفق (Flow Rate) وأهميته في تحديد حجم الفراغات,Flow Rate Measurement: Estimating Void Volume and Ground Response
geotech-encyclopedia-39,refusal-criteria-in-grouting-when-to-stop-at-a-point,معايير التوقف عن الحقن (Refusal Criteria): متى ننهي العمل في النقطة؟,Refusal Criteria in Grouting: When to Stop at a Point
geotech-encyclopedia-40,why-grouting-logs-matter-daily-records-for-quality-and-traceability,أهمية السجلات اليومية (Grouting Logs) في توثيق الجودة,Why Grouting Logs Matter: Daily Records for Quality and Traceability
geotech-encyclopedia-41,site-safety-in-grouting-works-managing-high-pressure-operations,السلامة المهنية في مواقع أعمال الحقن والتعامل مع الضغوط العالية,Site Safety in Grouting Works: Managing High‑Pressure Operations
geotech-encyclopedia-42,site-management-coordinating-the-grouting-crew-with-the-main-contractor,إدارة الموقع وتنسيق العمل بين فريق الحقن والمقاول الرئيسي,Site Management: Coordinating the Grouting Crew with the Main Contractor
geotech-encyclopedia-43,common-execution-mistakes-in-grouting-and-how-to-avoid-them,الأخطاء الشائعة في تنفيذ أعمال الحقن وكيفية تجنبها,Common Execution Mistakes in Grouting—and How to Avoid Them
geotech-encyclopedia-44,maintaining-grouting-equipment-how-it-affects-accuracy-and-outcomes,صيانة معدات الحقن وأثرها على دقة النتائج,Maintaining Grouting Equipment: How It Affects Accuracy and Outcomes
geotech-encyclopedia-45,underpinning-options-grouting-vs-micropiles-and-other-solutions,تقوية الأساسات (Underpinning): خريطة خيارات بين الحقن والخوازيق,Underpinning Options: Grouting vs Micropiles and Other Solutions
geotech-encyclopedia-46,epoxy-injection-for-structural-cracks-when-it-counts-as-structural-repair,حقن الإيبوكسي للشقوق الإنشائية: متى يكون إصلاحاً إنشائياً؟,Epoxy Injection for Structural Cracks: When It Counts as Structural Repair
geotech-encyclopedia-47,cfrp-strengthening-alongside-soil-grouting-integrated-repair-strategies,تدعيم العناصر الإنشائية بالكربون فايبر (CFRP) بالتزامن مع حقن التربة,CFRP Strengthening Alongside Soil Grouting: Integrated Repair Strategies
geotech-encyclopedia-48,settlement-remediation-isolated-footings-vs-raft-foundations,معالجة هبوط القواعد المنفصلة مقابل اللبشة المسلحة,Settlement Remediation: Isolated Footings vs Raft Foundations
geotech-encyclopedia-49,protecting-heritage-structures-with-micro-grouting-techniques,حماية المنشآت الأثرية والتاريخية باستخدام تقنيات الحقن الدقيق,Protecting Heritage Structures with Micro‑Grouting Techniques
geotech-encyclopedia-50,ground-improvement-under-roads-and-runways-special-requirements-and-fast,تقوية التربة تحت الطرق والمدارج: متطلبات خاصة وسرعة تنفيذ,Ground Improvement Under Roads and Runways: Special Requirements and Fast Delivery
